name,position
José Gabriel Carrizo Jaén,Ministerio de la Presidencia
Héctor Alexander,Ministerio de Economía y Finanzas
Maruja Gorday de Villalobos,Ministerio de Educación
Rafael José Sabonge Vilar,Ministerio de Obras Públicas
Luis Francisco Sucre M.,Ministerio de Salud
Doris Zapata Acevedo,Ministerio de Trabajo y Desarrollo Laboral
Ramón Martínez,Ministerio de Comercio e Industria
Rogelio Enrique Paredes Robles,Ministerio de Vivienda y Ordenamiento Territorial
Augusto Valderrama,Ministerio de Desarrollo Agropecuario
María Inés Castillo,Ministerio de Desarrollo Social
Aristides Royo,Ministerio para Asuntos del Canal de Panamá
Juan Pino,Ministerio de Seguridad Pública
Milciades Concepción,Ministerio de Ambiente
Eyra Ruiz,Ministra Consejera para los Temas de Salud Pública
José Alejandro Rojas,Ministro Consejero de facilitación de la Inversión Privada
Carlos Augusto Salcedo Zaldivar,Ministro Consejero para Asuntos Agropecuarios
Carlos Aguilar,Ministerio de Cultura
Janaina Tewaney Mencomo,Ministerio de Gobierno
Erika Mouynes,Ministerio de Relaciones Exteriores
