position,title
Q886965,President
Q7925059,Vice President
Q110628354,Minister of Agricultural Development
Q110628237,Minister for Canal Affairs
Q64481998,Minister of Commerce and Industries
Q110628225,Minister of Economy and Finance
Q110445464,Minister of Education
Q110628491,Minister of the Environment
Q64482042,Minister of Foreign Affairs
Q110445000,Minister of Government
Q110628364,Minister of Health
Q110628253,Minister of Housing and Land Management
Q110628373,Minister of Labour
Q110628286,Minister of the Presidency
Q110628350,Minister of Public Security
Q110628313,Minister of Public Works
Q110628381,Minister of Social Development
Q110628879,Speaker of the National Assembly
